"randomgen","bet"
101,0.159226807313231
102,0.140404905129639
103,0.115457955912362
104,0.148753194984537
105,0.133099892220339
106,0.158770442072396
107,0.148859858315538
108,0.126666672506896
109,0.122454226800463
110,0.125171024153964
111,0.131479498530508
112,0.132534549970554
113,0.171379150280525
114,0.0773515784055144
115,0.130446645708966
116,0.132192427269846
117,0.149040863185161
118,0.15505030057518
119,0.152654144901223
120,0.161833663377545
121,0.0827733710882232
122,0.127555144270708
123,0.0879847072086564
124,0.143736645266085
125,0.154759971673275
126,0.121739122540458
127,0.1397380574521
128,0.109764863572079
129,0.132876658330561
130,0.148161854695145
131,0.134661587459886
132,0.0718196228267377
133,0.145087175825842
134,0.139089850881931
135,0.100984093847336
136,0.135445593181037
137,0.144597631572294
138,0.139188766451297
139,0.0974922368254485
140,0.143280432487818
141,0.133926956633333
142,0.0954311078478435
143,0.105315885204798
144,0.170409711439732
145,0.117330709355459
146,0.0976614144776362
147,0.114942112922427
148,0.124861369873949
149,0.148758436343243
150,0.17054230022236
151,0.0866115803858618
152,0.170502290855741
153,0.107392075848813
154,0.149180841905826
155,0.171305597148073
156,0.170346991271661
157,0.137866766857719
158,0.112980764720579
159,0.158026062621857
160,0.155767009075959
161,0.102435528655037
162,0.152608963136444
163,0.170562952215646
164,0.141268159703815
165,0.136725775101178
166,0.170345644515318
167,0.114041015751808
168,0.154168787511713
169,0.102809432304264
170,0.148504964669609
171,0.0882661222510892
172,0.140758796978192
173,0.144029437975194
174,0.138997291573297
175,0.132759850645579
176,0.143656428682148
177,0.108868210560377
178,0.106315256389349
179,0.136123895517217
180,0.114760006583349
181,0.139193635948602
182,0.0931228285882604
183,0.135784363881711
184,0.139291375681758
185,0.0915054279759217
186,0.170588305795151
187,0.141593269448339
188,0.151578007813283
189,0.100382778855487
190,0.123786788476739
191,0.132804080125231
192,0.170663431488791
193,0.0994032113165908
194,0.116001157156261
195,0.139272195588676
196,0.11494406159097
197,0.170247005547345
198,0.155716026425865
199,0.10568215051772
200,0.170441992286631
