"randomgen","bet"
101,0.0838774627754298
102,0.0844723851291755
103,0.083116136281292
104,0.142875170210898
105,0.128033421669765
106,0.13101644204045
107,0.129392866308602
108,0.130439983959224
109,0.132871418478866
110,0.0807171408820508
111,0.0912264104113984
112,0.112009243947778
113,0.132473332689164
114,0.0792653640419356
115,0.128304488321898
116,0.0813517827973542
117,0.133715614442594
118,0.14457062811637
119,0.0764204775007793
120,0.131358879971924
121,0.120361074442992
122,0.145305594381874
123,0.136869228012567
124,0.129117248293986
125,0.0838929989820306
126,0.124502087025976
127,0.0821688568682725
128,0.0897430948999328
129,0.0723469477342426
130,0.122383582446231
131,0.0833298090364193
132,0.121117771683878
133,0.0801635200927189
134,0.135842751803684
135,0.0818941962935565
136,0.119677865915381
137,0.0866257337373543
138,0.118977520168162
139,0.122787346038905
140,0.0810549347947716
141,0.127418142083028
142,0.0819571108489734
143,0.126497520792663
144,0.130320635910767
145,0.127881535620841
146,0.0832837321495587
147,0.0778478482464722
148,0.0826111807562998
149,0.0825816978838523
150,0.0800006182687513
151,0.135333222041824
152,0.0876541405532298
153,0.0817852015427476
154,0.0837325301617275
155,0.13364795178942
156,0.0836308890288606
157,0.116664355572392
158,0.0812757975967697
159,0.0799779794986076
160,0.126150216732217
161,0.0808187009578048
162,0.121821300091746
163,0.127501945181502
164,0.116215966062867
165,0.115901551516103
166,0.120799550709363
167,0.0832493894998174
168,0.0816731905723705
169,0.120240944852563
170,0.124156495848988
171,0.123172527217589
172,0.0962607133847814
173,0.126427332722989
174,0.135844628622568
175,0.0802692808681292
176,0.0804578587515168
177,0.0835049025116742
178,0.0796677945657698
179,0.084057078860426
180,0.0855048875239606
181,0.120886010731691
182,0.0818608756750438
183,0.0853199303923744
184,0.0826048581863564
185,0.126905701369182
186,0.135874907357064
187,0.126498271855389
188,0.078319873386316
189,0.0817543705476969
190,0.12292851331201
191,0.081597570942055
192,0.132994718484976
193,0.121527648660473
194,0.120330001917901
195,0.130174189591382
196,0.0791311401472956
197,0.0881662249209454
198,0.0802000942287637
199,0.119963040211424
200,0.11959874292553
