Random Generator,bet,02-2015,04-2015,06-2015,08-2015,10-2015,12-2015,02-2016,04-2016,06-2016,08-2016,10-2016,12-2016,02-2017,04-2017,06-2017,08-2017,10-2017,12-2017,02-2018,04-2018,06-2018,08-2018,10-2018,12-2018
101,0.159226807313231,0.5619834710743802,0.5684647302904564,0.5128205128205128,0.4789915966386555,0.43333333333333335,0.47478991596638653,0.4430379746835443,0.3686440677966102,0.3179916317991632,0.25523012552301255,0.19183673469387755,0.152,0.11507936507936507,0.07509881422924901,0.07509881422924901,0.07450980392156863,0.07228915662650602,0.0796812749003984,0.088,0.06692913385826772,0.08560311284046693,0.0888030888030888,0.10727969348659004,0.09541984732824428
102,0.140404905129639,0.3407079646017699,0.3495575221238938,0.39565217391304347,0.4152542372881356,0.39148936170212767,0.3760330578512397,0.3512396694214876,0.2975206611570248,0.24380165289256198,0.19665271966527198,0.15040650406504066,0.12955465587044535,0.11885245901639344,0.10655737704918032,0.07723577235772358,0.06,0.04780876494023904,0.04743083003952569,0.043137254901960784,0.027888446215139442,0.032,0.023715415019762844,0.01968503937007874,0.023715415019762844
103,0.115457955912362,0.2672413793103448,0.2425531914893617,0.2554112554112554,0.270042194092827,0.3054393305439331,0.32489451476793246,0.3133047210300429,0.29411764705882354,0.25630252100840334,0.2330508474576271,0.2074688796680498,0.1885245901639344,0.18106995884773663,0.1652892561983471,0.13524590163934427,0.1510204081632653,0.1446280991735537,0.13991769547325103,0.13114754098360656,0.11065573770491803,0.08713692946058091,0.09282700421940929,0.1148936170212766,0.12184873949579832
104,0.148753194984537,0.34901960784313724,0.4,0.4342629482071713,0.45977011494252873,0.46332046332046334,0.45384615384615384,0.38697318007662834,0.3423076923076923,0.25475285171102663,0.21722846441947566,0.16412213740458015,0.14285714285714285,0.12213740458015267,0.12355212355212356,0.10505836575875487,0.12403100775193798,0.12355212355212356,0.1076923076923077,0.10266159695817491,0.09328358208955224,0.09157509157509157,0.09854014598540146,0.12773722627737227,0.1299638989169675
105,0.133099892220339,0.44081632653061226,0.46311475409836067,0.4730290456431535,0.44214876033057854,0.4125,0.3235294117647059,0.26556016597510373,0.20502092050209206,0.17154811715481172,0.16317991631799164,0.1518987341772152,0.13636363636363635,0.1037344398340249,0.0912863070539419,0.07407407407407407,0.09623430962343096,0.102880658436214,0.11814345991561181,0.10212765957446808,0.10300429184549356,0.11063829787234042,0.1282051282051282,0.12017167381974249,0.13675213675213677
106,0.158770442072396,0.45614035087719296,0.4482758620689655,0.4678111587982833,0.46120689655172414,0.4780701754385965,0.47435897435897434,0.41702127659574467,0.3605150214592275,0.2608695652173913,0.21367521367521367,0.1694915254237288,0.15481171548117154,0.1506276150627615,0.14583333333333334,0.15637860082304528,0.18292682926829268,0.17073170731707318,0.17012448132780084,0.18672199170124482,0.175,0.1625,0.14345991561181434,0.15611814345991562,0.15833333333333333
107,0.148859858315538,0.29508196721311475,0.30165289256198347,0.319672131147541,0.3263598326359833,0.3458333333333333,0.3723849372384937,0.3686440677966102,0.3135593220338983,0.27615062761506276,0.2625,0.22633744855967078,0.20901639344262296,0.17479674796747968,0.13709677419354838,0.112,0.099601593625498,0.0873015873015873,0.07569721115537849,0.10317460317460317,0.0984251968503937,0.11023622047244094,0.11904761904761904,0.14453125,0.19230769230769232
108,0.126666672506896,0.2892561983471074,0.3,0.33613445378151263,0.33472803347280333,0.3629032258064516,0.3902439024390244,0.356,0.3531746031746032,0.3058823529411765,0.2619047619047619,0.23694779116465864,0.17647058823529413,0.14671814671814673,0.1417624521072797,0.1274131274131274,0.09615384615384616,0.0933852140077821,0.10810810810810811,0.10077519379844961,0.10384615384615385,0.14671814671814673,0.15625,0.17829457364341086,0.17054263565891473
109,0.122454226800463,0.28846153846153844,0.31640625,0.3952569169960474,0.43190661478599224,0.4235294117647059,0.421875,0.40784313725490196,0.36046511627906974,0.31417624521072796,0.3015267175572519,0.2661596958174905,0.24427480916030533,0.17938931297709923,0.13846153846153847,0.11923076923076924,0.10227272727272728,0.10465116279069768,0.09505703422053231,0.12840466926070038,0.164,0.14901960784313725,0.16342412451361868,0.17624521072796934,0.1839080459770115
110,0.125171024153964,0.4689922480620155,0.4669260700389105,0.4666666666666667,0.4453125,0.47104247104247104,0.43529411764705883,0.412,0.37551020408163266,0.35080645161290325,0.308,0.3035019455252918,0.28185328185328185,0.2796934865900383,0.25096525096525096,0.22727272727272727,0.18490566037735848,0.15444015444015444,0.10727969348659004,0.08745247148288973,0.07547169811320754,0.06870229007633588,0.05859375,0.06563706563706563,0.07782101167315175
111,0.131479498530508,0.3568281938325991,0.35555555555555557,0.3799126637554585,0.3722943722943723,0.35964912280701755,0.37554585152838427,0.34347826086956523,0.3162393162393162,0.2978723404255319,0.2396694214876033,0.1934156378600823,0.14285714285714285,0.14516129032258066,0.12903225806451613,0.10196078431372549,0.11155378486055777,0.11067193675889328,0.12109375,0.14671814671814673,0.16091954022988506,0.17624521072796934,0.1984732824427481,0.19230769230769232,0.19066147859922178
112,0.132534549970554,0.1477832512315271,0.16346153846153846,0.1568627450980392,0.20689655172413793,0.208955223880597,0.2777777777777778,0.2736318407960199,0.255,0.25,0.2376237623762376,0.20772946859903382,0.20952380952380953,0.14285714285714285,0.11483253588516747,0.09389671361502347,0.08962264150943396,0.06666666666666667,0.07729468599033816,0.07075471698113207,0.06944444444444445,0.10599078341013825,0.1415525114155251,0.15207373271889402,0.18981481481481483
113,0.171379150280525,0.32644628099173556,0.35537190082644626,0.38626609442060084,0.3881856540084388,0.4344262295081967,0.448559670781893,0.3786008230452675,0.3170731707317073,0.2701612903225806,0.233201581027668,0.2047244094488189,0.17490494296577946,0.15151515151515152,0.11583011583011583,0.0916030534351145,0.09375,0.08203125,0.07335907335907337,0.08171206225680934,0.09689922480620156,0.1225296442687747,0.1383399209486166,0.16,0.1774193548387097
114,0.0773515784055144,0.2196078431372549,0.1889763779527559,0.17857142857142858,0.15953307392996108,0.16988416988416988,0.17557251908396945,0.17557251908396945,0.16666666666666666,0.15648854961832062,0.16602316602316602,0.15648854961832062,0.1412639405204461,0.11787072243346007,0.09541984732824428,0.06792452830188679,0.05343511450381679,0.04924242424242424,0.06037735849056604,0.04887218045112782,0.04905660377358491,0.05343511450381679,0.04580152671755725,0.04633204633204633,0.05813953488372093
115,0.130446645708966,0.23893805309734514,0.24545454545454545,0.24553571428571427,0.2391304347826087,0.2727272727272727,0.2794759825327511,0.27232142857142855,0.252212389380531,0.22666666666666666,0.19469026548672566,0.1511111111111111,0.12831858407079647,0.10666666666666667,0.07964601769911504,0.06437768240343347,0.06437768240343347,0.055793991416309016,0.05982905982905983,0.05627705627705628,0.06465517241379311,0.06926406926406926,0.06521739130434782,0.05309734513274336,0.057777777777777775
116,0.132192427269846,0.3627906976744186,0.35348837209302325,0.34579439252336447,0.3835616438356164,0.3888888888888889,0.3632075471698113,0.3584905660377358,0.3145539906103286,0.24170616113744076,0.20187793427230047,0.16901408450704225,0.15813953488372093,0.11627906976744186,0.09090909090909091,0.09545454545454546,0.09216589861751152,0.08071748878923767,0.0945945945945946,0.08482142857142858,0.08370044052863436,0.08333333333333333,0.1,0.12608695652173912,0.12608695652173912
